semantics,property_set,transport,robots,runs,expected_runs,complete,latency_samples_mean,latency_overhead_ms_p50_mean,latency_overhead_ms_p95_mean,latency_overhead_ms_p99_mean
delayed-qualitative,confined,direct,1,2,2,True,400.0,0.027972499999999997,0.0431425,0.061717499999999995
delayed-qualitative,confined,direct,5,2,2,True,2000.0,0.048321,0.079932,0.133087
delayed-qualitative,confined,direct,10,2,2,True,4000.0,0.0672325,0.0944485,0.1374055
delayed-qualitative,confined,direct,20,2,2,True,8000.0,0.1015195,0.154758,0.2103835
delayed-qualitative,confined,direct,50,2,2,True,20000.0,0.20459149999999998,0.27681750000000005,0.35866200000000004
delayed-qualitative,confined,direct,100,2,2,True,40000.0,0.35482,0.481776,0.566594
delayed-qualitative,confined,ros,1,2,2,True,400.0,1.5673025,26.2359795,26.409983999999998
delayed-qualitative,confined,ros,5,2,2,True,2000.0,22.113971,22.247764,22.409299
delayed-qualitative,confined,ros,10,2,2,True,4000.0,41.3718595,41.5350355,41.790352
delayed-qualitative,confined,ros,20,2,2,True,8000.0,43.847125000000005,43.965373,44.053856499999995
delayed-qualitative,confined,ros,50,2,2,True,20000.0,43.373604,43.6216735,44.064491000000004
delayed-qualitative,confined,ros,100,2,2,True,40000.0,27.022094000000003,27.4360405,27.739946500000002
delayed-qualitative,dwell,direct,1,2,2,True,100.0,0.066445,0.33232649999999997,0.3864925
delayed-qualitative,dwell,direct,5,2,2,True,500.0,0.125253,0.41927099999999995,0.490854
delayed-qualitative,dwell,direct,10,2,2,True,1000.0,0.1123565,0.4460275,0.5781135
delayed-qualitative,dwell,direct,20,2,2,True,2000.0,0.1617585,0.4856935,0.5381395
delayed-qualitative,dwell,direct,50,2,2,True,5000.0,0.344028,0.6648205,0.8208120000000001
delayed-qualitative,dwell,direct,100,2,2,True,10000.0,0.6344515,1.0117005000000001,1.106067
delayed-qualitative,dwell,ros,1,2,2,True,100.0,46.532743999999994,46.719401500000004,46.859191499999994
delayed-qualitative,dwell,ros,5,2,2,True,500.0,25.9135345,26.0795785,26.2848705
delayed-qualitative,dwell,ros,10,2,2,True,1000.0,48.659589,48.823738,49.166225499999996
delayed-qualitative,dwell,ros,20,2,2,True,2000.0,25.3737395,25.478887,25.5742585
delayed-qualitative,dwell,ros,50,2,2,True,5000.0,38.2744295,38.666965,39.032638500000004
delayed-qualitative,dwell,ros,100,2,2,True,10000.0,31.7382645,32.321845499999995,32.778648
delayed-qualitative,occupancy,direct,1,2,2,True,200.0,0.042868500000000004,0.2970295,0.3388655
delayed-qualitative,occupancy,direct,5,2,2,True,200.0,0.1133175,0.3731365,0.5243154999999999
delayed-qualitative,occupancy,direct,10,2,2,True,200.0,0.11759149999999999,0.400293,0.4692245
delayed-qualitative,occupancy,direct,20,2,2,True,200.0,0.12470200000000001,0.39718149999999997,0.4861995
delayed-qualitative,occupancy,direct,50,2,2,True,200.0,0.47322549999999997,0.7588305,0.86963
delayed-qualitative,occupancy,direct,100,2,2,True,200.0,1.597281,2.0459845,2.327577
delayed-qualitative,occupancy,ros,1,2,2,True,200.0,46.738811,46.947058,47.1414195
delayed-qualitative,occupancy,ros,5,2,2,True,200.0,25.497683499999997,25.669552,25.9309725
delayed-qualitative,occupancy,ros,10,2,2,True,200.0,24.6349395,24.7878215,25.207893499999997
delayed-qualitative,occupancy,ros,20,2,2,True,200.0,45.104583500000004,45.2751855,45.6808545
delayed-qualitative,occupancy,ros,50,2,2,True,200.0,46.7782545,46.9845425,47.443028999999996
delayed-qualitative,occupancy,ros,100,2,2,True,200.0,44.705031,45.139835,45.599841
delayed-quantitative,confined,direct,1,2,2,True,400.0,0.027755000000000002,0.0443515,0.051403500000000005
delayed-quantitative,confined,direct,5,2,2,True,2000.0,0.048349,0.071231,0.08269750000000001
delayed-quantitative,confined,direct,10,2,2,True,4000.0,0.067855,0.09451000000000001,0.1088905
delayed-quantitative,confined,direct,20,2,2,True,8000.0,0.1132465,0.1587095,0.1760965
delayed-quantitative,confined,direct,50,2,2,True,20000.0,0.20884000000000003,0.283929,0.36751449999999997
delayed-quantitative,confined,direct,100,2,2,True,40000.0,0.3595935,0.4928255,0.581831
delayed-quantitative,confined,ros,1,2,2,True,400.0,47.710189,47.8551905,48.0456935
delayed-quantitative,confined,ros,5,2,2,True,2000.0,47.0163675,47.161505500000004,47.461347
delayed-quantitative,confined,ros,10,2,2,True,4000.0,23.7929905,23.920095999999997,24.002516
delayed-quantitative,confined,ros,20,2,2,True,8000.0,45.1052915,45.2798035,45.567655
delayed-quantitative,confined,ros,50,2,2,True,20000.0,42.7951535,43.0712695,43.50304
delayed-quantitative,confined,ros,100,2,2,True,40000.0,38.641474,39.120361,39.738066
delayed-quantitative,dwell,direct,1,2,2,True,100.0,0.025246,0.2829545,0.31553600000000004
delayed-quantitative,dwell,direct,5,2,2,True,500.0,0.1113105,0.3416215,1.096127
delayed-quantitative,dwell,direct,10,2,2,True,1000.0,0.1223775,0.36275999999999997,0.47214350000000005
delayed-quantitative,dwell,direct,20,2,2,True,2000.0,0.178031,0.48490599999999995,0.5991234999999999
delayed-quantitative,dwell,direct,50,2,2,True,5000.0,0.439059,0.7359720000000001,0.8867214999999999
delayed-quantitative,dwell,direct,100,2,2,True,10000.0,0.6416820000000001,1.047306,1.256407
delayed-quantitative,dwell,ros,1,2,2,True,100.0,25.412432,25.596132,25.779199
